taxon_id,kingdom,phylum,class,order,family,genus,species,strain
465515,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus,Micrococcus luteus NCTC 2665
469602,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,Fusobacterium vincentii 3_1_27
1002364,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Hafnia,Hafnia alvei,Hafnia alvei ATCC 51873
469599,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum,Fusobacterium periodonticum 2_1_31
502347,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia albertii,Escherichia albertii TW07627
525367,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria grayi,Listeria grayi DSM 20601
568703,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus rhamnosus,Lacticaseibacillus rhamnosus GG
565040,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum subsp. infantis 157F
546262,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria cinerea,Neisseria cinerea ATCC 14685
1121126,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochotrix,Brochothrix thermosphacta,Brochothrix thermosphacta DSM 20171 = FSL F6-1036
545696,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania filiformis,Holdemania filiformis DSM 12042
1122949,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis DSM 7455
702444,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,Bacteroides xylanisolvens SD CC 2a
1423799,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus salivarius,Ligilactobacillus salivarius DSM 20555 = ATCC 11741
1140001,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus durans,Enterococcus durans ATCC 6056
767031,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola,Prevotella denticola F0289
1127131,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Weissella confusa,Weissella confusa LBAE C39-2
537972,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pullorum,Helicobacter pullorum MIT 98-5489
537007,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hansenii,Blautia hansenii DSM 20583
749518,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus faecalis TX2134
936154,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis,Streptococcus parauberis KCTC 11537
1203611,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii,Alistipes onderdonkii WAL 8169 = DSM 19147
657309,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,Bacteroides xylanisolvens XB1A
206672,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,Bifidobacterium longum NCC2705
426355,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium radiotolerans,Methylobacterium radiotolerans JCM 2831
553174,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella melaninogenica,Prevotella melaninogenica ATCC 25845
1397694,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales Incertae Sedis XII,Exiguobacterium,Exiguobacterium aurantiacum,Exiguobacterium aurantiacum DSM 6208
1178544,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus altitudinis,Bacillus altitudinis 41KF2b
469617,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans,Fusobacterium ulcerans ATCC 49185
1384484,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,Adlercreutzia equolifaciens,Adlercreutzia equolifaciens DSM 19450
1121100,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides pyogenes,Phocaeicola plebeius DSM 17135
450749,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,Veillonella sp.,Veillonella sp. 6_1_27
1120988,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Vibrionaceae,Anaerobiospirillum,Anaerobiospirillum succiniciproducens,Anaerobiospirillum succiniciproducens DSM 6400
548479,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii,Mobiluncus curtisii ATCC 43063
